Series,Title,Pages,Words,"Year Published","Years Elapsed","Cumulative Pages","Cumulative WC","Source URI",Edition,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title,Pages,Words,Year
"A Song of Ice and Fire","A Game of Thrones",819,298000,1996,0,819,298000,http://www.amazon.com/Game-Thrones-Song-Fire-Book-ebook/dp/B004GJXQ20/ref=sr_1_2_bnp_1_kin?ie=UTF8&qid=1403086998&sr=8-2&keywords=song+of+ice+and+fire,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Song of Ice and Fire","A Clash of kings",931,326000,1998,2,1750,624000,http://www.amazon.com/Clash-Kings-Song-Fire-Book-ebook/dp/B004L9MFM2/ref=wp_bs_2_B00CHNOX6A_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Song of Ice and Fire","A Storm of Swords",1218,424000,2000,4,2968,1048000,http://www.amazon.com/Storm-Swords-Complete-Song-Fire-ebook/dp/B004P1JEWU/ref=sr_1_4_bnp_1_kin,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Song of Ice and Fire","A Feast for Crows",784,300000,2005,9,3752,1348000,http://www.amazon.com/Feast-Crows-Song-Fire-Book-ebook/dp/B004P1JEXE/ref=sr_1_3_bnp_1_kin?ie=UTF8&qid=1403086998&sr=8-3&keywords=song+of+ice+and+fire,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Song of Ice and Fire","A Dance with Dragons",1045,422000,2011,15,4797,1770000,http://www.amazon.com/Dance-With-Dragons-Song-Fire-ebook/dp/B004XISI4A/ref=wp_bs_5_B00CHNOX6A_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Potter","Philosopher's Stone",324,76944,1997,0,324,76944,http://www.amazon.com/Harry-Potter-Philosophers-Stone-Book-ebook/dp/B00728DYME/ref=wp_bs_1_B00CJG28U8_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Potter","Chamber of Secrets",357,85141,1998,1,681,162085,http://www.amazon.com/Harry-Potter-Chamber-Secrets-Book-ebook/dp/B00728DYII/ref=wp_bs_2_B00CJG28U8_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Potter","Prisoner of Azkaban",435,107253,1999,2,1116,269338,http://www.amazon.com/Harry-Potter-Prisoner-Azkaban-Book-ebook/dp/B00728DYQ0/ref=wp_bs_3_B00CJG28U8_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Potter","Goblet of Fire",752,190637,2000,3,1868,459975,http://www.amazon.com/Harry-Potter-Goblet-Fire-Book-ebook/dp/B00728DYBA/ref=wp_bs_4_B00CJG28U8_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Potter","Order of the Phoenix",901,257045,2003,6,2769,717020,http://www.amazon.com/Harry-Potter-Order-Phoenix-Book-ebook/dp/B00728DYJM/ref=wp_bs_5_B00CJG28U8_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Potter","Half-Blood Prince",652,198923,2005,8,3421,915943,http://www.amazon.com/Harry-Potter-Half-Blood-Prince-Book-ebook/dp/B00728DYGA/ref=wp_bs_6_B00CJG28U8_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harry Potter","Deathly Hallows",784,198227,2007,10,4205,1114170,http://www.amazon.com/Harry-Potter-Deathly-Hallows-Book-ebook/dp/B00728DY60/ref=wp_bs_7_B00CJG28U8_kindle_edition,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"Gardens of the Moon",768,203896,1999,0,768,203896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"Deadhouse Gates",943,266260,2000,1,1711,470156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"Memories of Ice",1187,345755,2001,2,2898,815911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"House of Chains",1021,307427,2002,3,3919,1123338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"Midnight Tides",940,272724,2004,5,4859,1396062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"The Bonehunters",1232,362804,2006,7,6091,1758866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"Reaper's Gale",1280,386342,2007,8,7371,2145208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"Toll the Hounds",1296,391897,2008,9,8667,2537105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"Dust of Dreams",1280,379326,2009,10,9947,2916431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malazan,"The Crippled God",1200,412123,2011,12,11147,3328554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle",Magician,704,,1982,0,704,0,http://www.amazon.com/Magician-Riftwar-Saga-Raymond-Feist-ebook/dp/B008TGOMWY/ref=sr_1_3,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle",Silverthorn,401,,1985,3,1105,0,http://www.amazon.com/Silverthorn-Raymond-E-Feist-ebook/dp/B008WXHZO6/ref=sr_1_1,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Darkness at Sethanon",528,,1986,4,1633,0,http://www.amazon.com/Darkness-at-Sethanon-Raymond-Feist-ebook/dp/B008WXHZ3C/ref=sr_1_4,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Daughter of the Empire",434,,1987,5,2067,0,http://www.amazon.com/Daughter-Empire-Raymond-E-Feist-ebook/dp/B0092HPYKS/ref=sr_1_7,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Servant of the Empire",706,,1990,8,2773,0,http://www.amazon.com/Servant-Empire-Raymond-E-Feist-ebook/dp/B0092HPR8M/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Mistress of the Empire",864,,1992,10,3637,0,http://www.amazon.com/Mistress-Empire-Raymond-E-Feist-ebook/dp/B0092HSGM6/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Prince of the Blood",480,,1989,7,4117,0,http://www.amazon.com/Prince-Blood-Raymond-E-Feist-ebook/dp/B0092HQ28G/ref=sr_1_13,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","King's Buccanneer",640,,1992,10,4757,0,http://www.amazon.com/Kings-Buccaneer-Raymond-E-Feist-ebook/dp/B0092HPRZK/ref=sr_1_11,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Shadow of a Dark Queen",515,,1994,12,5272,0,http://www.amazon.com/Shadow-Dark-Queen-Serpentwar-Saga-ebook/dp/B008WXI572/ref=sr_1_12,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Rise of a Merchant Prince",493,,1995,13,5765,0,http://www.amazon.com/Rise-Merchant-Prince-Serpentwar-Saga-ebook/dp/B008WXI9L4/ref=sr_1_14,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Rage of a Demon King",659,,1997,15,6424,0,http://www.amazon.com/Rage-Demon-King-Serpentwar-Saga-ebook/dp/B008WXI96O/ref=sr_1_15,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Shards of a Broken Crown",532,,1998,16,6956,0,http://www.amazon.com/Shards-Broken-Crown-Serpentwar-Saga-ebook/dp/B008WXI59A/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Krondor: The Betrayal",368,,1998,16,7324,0,http://www.amazon.com/Krondor-Betrayal-Riftwar-Legacy-Book-ebook/dp/B0041RRCSG/ref=sr_1_5,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Krondor: The Assassins",371,,2000,18,7695,0,http://www.amazon.com/Krondor-Assassins-Riftwar-Legacy-Book-ebook/dp/B002ZP8KNM/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Krondor: Tear of the Gods",390,,2001,19,8085,0,http://www.amazon.com/Krondor-Tear-Gods-Riftwar-Legacy-ebook/dp/B003062GDA/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Talon of the Silver Hawk",390,,2002,20,8475,0,http://www.amazon.com/Talon-Silver-Hawk-Conclave-Shadows-ebook/dp/B008WXI9RS/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","King of Foxes",384,,2003,21,8859,0,http://www.amazon.com/Foxes-Conclave-Shadows-Raymond-Feist-ebook/dp/B008WXI4GE/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Exile's Return",373,,2004,22,9232,0,http://www.amazon.com/Exiles-Return-Conclave-Shadows-Raymond-ebook/dp/B008WXI568/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Flight of the Nighthawks",400,,2005,23,9632,0,http://www.amazon.com/Flight-Night-Hawks-Darkwar-Book-ebook/dp/B008WXICDO/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Into a Dark Realm",400,,2006,24,10032,0,http://www.amazon.com/Into-Dark-Realm-Darkwar-Saga-ebook/dp/B008WXIBZI/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Wrath of a Mad God",531,,2008,26,10563,0,http://www.amazon.com/Wrath-Mad-God-Darkwar-Saga-ebook/dp/B002TU1QBQ/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Rides a Dread Legion",437,,2009,27,11000,0,http://www.amazon.com/Rides-Dread-Legion-Riftwar-Cycle-ebook/dp/B002UZ5JDQ/ref=sr_1_16,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","At the Gates of Darkness",336,,2010,28,11336,0,http://www.amazon.com/At-Gates-Darkness-Riftwar-Cycle-ebook/dp/B003062GOO/ref=sr_1_17,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","A Kingdom Besieged",421,,2011,29,11757,0,http://www.amazon.com/Kingdom-Besieged-Raymond-E-Feist-ebook/dp/B004P1JF0Q/ref=sr_1_6,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","A Crown Imperiled",485,,2012,30,12242,0,http://www.amazon.com/Crown-Imperiled-Book-Chaoswar-Saga-ebook/dp/B005UF0UF0/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Magician's End",656,,2013,31,12898,0,http://www.amazon.com/Magicians-End-Raymond-E-Feist-ebook/dp/B00A6265BK/ref=sr_1_9,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Honoured Enemy",340,,2001,19,13238,0,http://www.amazon.com/Honoured-Enemy-Legends-Riftwar-Book-ebook/dp/B008WXI4KK/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Murder in LaMut",400,,2002,20,13638,0,http://www.amazon.com/Murder-LaMut-Legends-Riftwar-Raymond-ebook/dp/B008WXI9NM/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riftwar Cycle","Jimmy the Hand",384,,2003,21,14022,0,http://www.amazon.com/Jimmy-Legends-Riftwar-Raymond-Feist-ebook/dp/B008WXHZ4G/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","Shadow of the Torturer",,,1980,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","Claw of the Conciliator",416,,1981,1,416,0,http://www.amazon.com/Shadow-Claw-Gene-Wolfe/dp/0575116730/,paperback,"Omnibus of Shadow and Claw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","Sword of the Lictor",,,1982,2,416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","The Citadel of the Autarch",415,,1983,3,831,0,http://www.amazon.com/Sword-Citadel-Second-Half-Book-ebook/dp/B008S0E8B6/,kindle,"Omnibus of Sword and Citadel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","The Urth of the New Sun",386,,1987,7,1217,0,http://www.amazon.com/Urth-New-Sun-sequel-Book-ebook/dp/B008S0EA14/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","Nightside of the Long Sun",,,1993,13,1217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","Lake of the Long Sun",544,,1994,14,1761,0,http://www.amazon.com/Litany-Long-Sun-Nightside-Books/dp/0312872917/,paperback,"Omnibus of Nightside and Lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","Caldé of the Long Sun",,,1995,15,1761,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","Exodus of the Long Sun",720,,1996,16,2481,0,http://www.amazon.com/Epiphany-Long-Sun-Calde-Exodus/dp/0312860722/,paperback,"Omnibus of Caldé and Exodus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","On Blue's Waters",388,,1999,19,2869,0,http://www.amazon.com/Blues-Waters-One-Book-Short-ebook/dp/B003J5UI4G/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","In Green's Jungles",386,,2000,20,3255,0,http://www.amazon.com/Greens-Jungles-Second-Book-Short-ebook/dp/B004M8T0U2/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Book of the New Sun","Return to the Whorl",418,,2001,21,3673,0,http://www.amazon.com/Return-Whorl-Final-Book-Short-ebook/dp/B003J5UIGE/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
